doy,gald,mass
245,3.75,4.167787508
245,3.125,10.05980253
245,6.25,6.713019874
245,5.625,2.230059882
245,2.5,0.549115144
245,1.25,6.410626191
245,2.5,0.96096151
245,6.25,11.22156918
245,3.125,15.9706822
245,9.375,0.001758436
245,9.375,0.001527104
245,8.75,0.138700289
245,5.625,0.220531731
245,5.625,0.113301862
245,8.125,0.15341642
245,10.625,0.01563049
245,62.5,0.033208927
245,1.25,0.138076442
245,16.875,1.506051578
251,11.875,0.275268082
251,31.25,5.953961359
251,24.375,5.751588851
251,22.5,13.76293345
251,16.875,2.046282969
251,16.875,9.922257861
251,45,9.022488921
251,23.125,1.109435106
251,14.375,9.889165052
251,25,0.864973547
251,22.5,1.234447326
251,35.625,1.776777399
251,24.375,1.50587583
251,42.5,2.391556091
251,7.5,1.81398638
251,6.875,1.738636984
251,6.25,4.087710759
251,2.5,8.898446163
251,5,1.469702798
251,3.75,0.884663695
251,3.125,8.146208668
251,6.25,2.938021551
251,5.625,7.143457559
251,2.5,0.472600229
251,1.25,2.693945426
251,2.5,3.145363286
251,5.625,0.002153781
251,33.75,0.001775007
251,1.25,0.001893932
251,16.875,0.001577778
251,NA,0.002484594
251,NA,0.002321871
251,NA,0.186155213
251,NA,NA
273,NA,4.202857384
273,NA,6.398945782
273,NA,2.322663114
273,NA,1.551207235
273,NA,0.590127469
273,NA,2.092824737
273,NA,1.138715847
273,NA,1.939113584
273,NA,0.697327245
273,NA,0.721725243
273,NA,0.621616412
273,NA,1.783302296
273,NA,1.87736721
273,NA,2.159207727
273,NA,1.966287499
273,NA,1.39976605
273,NA,0.545370611
273,NA,0.849931009
273,NA,0.573411057
273,NA,0.706807372
273,NA,0.602401374
273,NA,0.592004753
273,NA,0.601451212
273,NA,1.641685929
273,NA,0.755505304
273,NA,1.924586243
273,NA,1.078639381
273,NA,0.460406735
273,NA,0.76774171
273,NA,5.162666689
273,NA,1.00390692
273,NA,3.757333686
273,NA,5.375163038
273,NA,1.657020189
273,NA,9.407723951
273,NA,4.99381545
273,NA,4.807837499
273,NA,10.48669849
273,NA,9.246468224
273,NA,4.41671117
273,NA,2.244363299
273,NA,6.507620381
273,NA,8.789798733
273,NA,5.096410533
273,NA,6.849362859
273,NA,3.500702529
273,NA,10.95339189
273,NA,0.743671542
273,NA,2.401232724
273,NA,1.772432679
273,NA,2.324526382
273,NA,6.389015436
273,NA,7.903687057
273,NA,5.254310661
273,NA,0.004096766
273,NA,0.002091357
273,NA,0.001372258
273,NA,0.002870498
273,NA,0.001731046
273,NA,0.003934443
273,NA,0.272554109
273,NA,0.29846255
273,NA,0.324945929
273,NA,0.52331412
273,NA,0.246127298
