doyfrac,doy,timefrac,site,chl_rfu,chl,cond,nLF cond,odo_sat,odo_satlocal,odo,salinity,spcond,pc_rfu,pc,tds,wiper,ph,ph_mv,temp,battery,cablepower
225.51,225,0.51,Green Valley 2019 - Site 8740,0.21,14.04,166.3,159.8,109.7,109.7,8.75,0.07,160.4,3.26,5.81,104,1.201,10.26,-256.2,26.913,2.57,1.7
225.52,225,0.52,Green Valley 2019 - Site 8741,0.18,13.92,166.6,159.9,109.9,109.9,8.75,0.07,160.5,3.19,5.74,104,1.201,10.27,-256.8,26.975,2.56,1.7
225.53,225,0.53,Green Valley 2019 - Site 8742,0.21,14.04,166.8,159.9,110,110,8.76,0.07,160.6,3.03,5.59,104,1.197,10.27,-256.7,27.018,2.56,1.6
225.54,225,0.54,Green Valley 2019 - Site 8743,0.27,14.27,167,160.1,110.2,110.2,8.77,0.07,160.8,3.21,5.76,105,1.194,10.28,-257.6,27.027,2.57,1.7
225.55,225,0.55,Green Valley 2019 - Site 8744,0.16,13.85,168,160.4,110.8,110.8,8.79,0.07,161.1,2.84,5.4,105,1.199,10.31,-259.5,27.237,2.56,1.7
225.56,225,0.56,Green Valley 2019 - Site 8745,0.2,13.98,168.1,160.4,111,111,8.8,0.07,161.2,3.33,5.88,105,1.209,10.32,-260.1,27.253,2.57,1.7
225.57,225,0.57,Green Valley 2019 - Site 8746,0.16,13.84,168.3,160.5,111.2,111.2,8.81,0.07,161.3,3.02,5.58,105,1.204,10.3,-259.3,27.29,2.57,1.7
225.58,225,0.58,Green Valley 2019 - Site 8747,0.21,14.05,168.3,160.5,111.4,111.4,8.82,0.07,161.2,3.24,5.79,105,1.201,10.31,-259.6,27.292,2.57,1.7
225.59,225,0.59,Green Valley 2019 - Site 8748,0.19,13.96,168.9,160.7,111.7,111.7,8.84,0.07,161.5,3.12,5.68,105,1.199,10.33,-260.6,27.379,2.57,1.7
225.6,225,0.6,Green Valley 2019 - Site 8749,0.18,13.92,169.4,160.9,112,112,8.85,0.08,161.7,2.92,5.47,105,1.194,10.34,-261.7,27.47,2.57,1.7
225.61,225,0.61,Green Valley 2019 - Site 8750,0.17,13.89,169.6,161,112.3,112.3,8.87,0.08,161.9,3.06,5.62,105,1.197,10.33,-261.2,27.503,2.57,1.7
225.63,225,0.63,Green Valley 2019 - Site 8751,0.18,13.92,169.4,160.8,112.4,112.4,8.87,0.08,161.7,3.07,5.62,105,1.207,10.32,-260.4,27.497,2.57,1.7
225.64,225,0.64,Green Valley 2019 - Site 8752,0.18,13.93,170.2,161.2,112.8,112.8,8.89,0.08,162.1,3.17,5.73,105,1.212,10.36,-262.7,27.622,2.57,1.7
225.65,225,0.65,Green Valley 2019 - Site 8753,0.19,13.95,171,161.5,113.3,113.3,8.9,0.08,162.5,2.97,5.53,106,1.206,10.38,-264,27.754,2.57,1.7
225.66,225,0.66,Green Valley 2019 - Site 8754,0.18,13.89,171.8,161.8,113.8,113.8,8.93,0.08,162.8,2.88,5.44,106,1.198,10.42,-267.1,27.892,2.57,1.7
225.67,225,0.67,Green Valley 2019 - Site 8755,0.17,13.89,172.4,162.2,114.3,114.3,8.95,0.08,163.2,2.64,5.2,106,1.199,10.43,-267.7,27.955,2.57,1.7
225.68,225,0.68,Green Valley 2019 - Site 8756,0.19,13.96,172.6,162.3,114.7,114.7,8.97,0.08,163.3,2.88,5.44,106,1.206,10.43,-267.5,28.001,2.57,1.7
225.69,225,0.69,Green Valley 2019 - Site 8757,0.14,13.74,173.3,162.5,115.1,115.1,8.99,0.08,163.6,2.63,5.18,106,1.209,10.44,-268.1,28.103,2.57,1.7
225.7,225,0.7,Green Valley 2019 - Site 8758,0.18,13.9,172.7,162.3,115.2,115.2,9.01,0.08,163.3,2.82,5.37,106,1.201,10.4,-266,28.004,2.57,1.7
225.71,225,0.71,Green Valley 2019 - Site 8759,0.15,13.79,172.7,162.3,115.4,115.4,9.03,0.08,163.3,2.69,5.25,106,1.199,10.4,-265.7,28.016,2.57,1.7
225.72,225,0.72,Green Valley 2019 - Site 8760,0.16,13.82,172.7,162.3,115.5,115.5,9.03,0.08,163.3,2.61,5.17,106,1.198,10.41,-266.3,28.03,2.57,1.7
225.73,225,0.73,Green Valley 2019 - Site 8761,0.16,13.82,172.5,162.2,115.6,115.6,9.05,0.08,163.2,2.77,5.32,106,1.197,10.4,-265.5,27.988,2.57,1.7
225.74,225,0.74,Green Valley 2019 - Site 8762,0.17,13.87,173.7,162.8,116.1,116.1,9.06,0.08,163.8,2.64,5.2,107,1.198,10.47,-270,28.137,2.57,1.7
225.75,225,0.75,Green Valley 2019 - Site 8763,0.15,13.8,176,163.7,117,117,9.08,0.08,164.9,2.32,4.87,107,1.205,10.5,-272.1,28.506,2.57,1.7
225.76,225,0.76,Green Valley 2019 - Site 8764,0.17,13.87,175.5,163.7,117.4,117.4,9.12,0.08,164.8,2.6,5.15,107,1.212,10.49,-271.3,28.381,2.57,1.7
225.77,225,0.77,Green Valley 2019 - Site 8765,0.13,13.73,176.4,164.1,117.8,117.8,9.14,0.08,165.3,2.15,4.7,107,1.208,10.49,-271.7,28.507,2.57,1.7
225.78,225,0.78,Green Valley 2019 - Site 8766,0.12,13.69,175.7,163.8,117.9,117.9,9.16,0.08,164.9,2.28,4.83,107,1.194,10.45,-269.3,28.408,2.57,1.7
225.79,225,0.79,Green Valley 2019 - Site 8767,0.12,13.67,175.4,163.6,118.1,118.1,9.18,0.08,164.8,2.1,4.66,107,1.198,10.46,-269.9,28.381,2.57,1.7
225.8,225,0.8,Green Valley 2019 - Site 8768,0.14,13.74,175.2,163.5,118.2,118.2,9.2,0.08,164.7,2.31,4.86,107,1.201,10.46,-269.7,28.334,2.57,1.7
225.81,225,0.81,Green Valley 2019 - Site 8769,0.13,13.71,175,163.5,118.3,118.3,9.21,0.08,164.6,2.31,4.87,107,1.204,10.48,-270.8,28.306,2.57,1.7
225.82,225,0.82,Green Valley 2019 - Site 8770,0.14,13.74,174.8,163.3,118.5,118.5,9.22,0.08,164.4,2.31,4.87,107,1.209,10.47,-270.2,28.3,2.57,1.7
225.83,225,0.83,Green Valley 2019 - Site 8771,0.13,13.7,174.9,163.4,118.6,118.6,9.23,0.08,164.5,2.12,4.68,107,1.201,10.49,-271.2,28.307,2.57,1.7
225.84,225,0.84,Green Valley 2019 - Site 8772,0.08,13.51,175.6,163.8,118.9,118.9,9.24,0.08,164.9,1.52,4.08,107,1.198,10.51,-272.5,28.371,2.57,1.7
225.85,225,0.85,Green Valley 2019 - Site 8773,0.07,13.48,175.3,163.7,118.9,118.9,9.25,0.08,164.9,1.42,3.98,107,1.201,10.49,-271.4,28.305,2.58,1.7
225.86,225,0.86,Green Valley 2019 - Site 8774,0.13,13.71,174.7,163.5,118.9,118.9,9.27,0.08,164.6,1.47,4.02,107,1.21,10.48,-270.7,28.226,2.57,1.7
225.88,225,0.88,Green Valley 2019 - Site 8775,0.08,13.49,174.5,163.4,118.9,118.9,9.27,0.08,164.5,1.35,3.91,107,1.201,10.46,-269.3,28.185,2.57,1.7
225.89,225,0.89,Green Valley 2019 - Site 8776,0.09,13.54,173.9,163,118.9,118.9,9.28,0.08,164.1,1.55,4.11,107,1.197,10.46,-269.7,28.126,2.57,1.7
225.9,225,0.9,Green Valley 2019 - Site 8777,0.08,13.52,173.7,163,118.8,118.8,9.29,0.08,164,1.38,3.93,107,1.193,10.46,-269.6,28.087,2.57,1.7
225.91,225,0.91,Green Valley 2019 - Site 8778,0.14,13.77,173.3,162.7,118.7,118.7,9.28,0.08,163.8,1.97,4.53,106,1.197,10.45,-268.6,28.048,2.57,1.7
225.92,225,0.92,Green Valley 2019 - Site 8779,0.1,13.57,173.2,162.7,118.7,118.7,9.28,0.08,163.8,1.55,4.11,106,1.201,10.45,-268.8,28.026,2.57,1.7
225.93,225,0.93,Green Valley 2019 - Site 8780,0.14,13.74,172.9,162.5,118.6,118.6,9.28,0.08,163.5,1.96,4.52,106,1.209,10.44,-268.1,27.989,2.57,1.7
225.94,225,0.94,Green Valley 2019 - Site 8781,0.16,13.83,172.6,162.4,118.5,118.5,9.28,0.08,163.4,1.81,4.36,106,1.206,10.42,-267,27.957,2.57,1.7
225.95,225,0.95,Green Valley 2019 - Site 8782,0.14,13.74,172.2,162.1,118.5,118.5,9.28,0.08,163.1,1.79,4.34,106,1.197,10.4,-265.8,27.925,2.57,1.7
225.96,225,0.96,Green Valley 2019 - Site 8783,0.13,13.71,172.1,162.1,118.4,118.4,9.28,0.08,163.1,1.79,4.35,106,1.193,10.4,-265.3,27.913,2.57,1.7
225.97,225,0.97,Green Valley 2019 - Site 8784,0.12,13.67,171.9,162,118.3,118.3,9.28,0.08,163,1.73,4.28,106,1.194,10.37,-263.9,27.875,2.57,1.7
225.98,225,0.98,Green Valley 2019 - Site 8785,0.15,13.78,171.5,161.8,118.2,118.2,9.27,0.08,162.7,1.75,4.31,106,1.205,10.37,-263.4,27.825,2.57,1.7
225.99,225,0.99,Green Valley 2019 - Site 8786,0.14,13.75,171.3,161.7,118,118,9.27,0.08,162.7,1.74,4.3,106,1.2,10.37,-263.4,27.78,2.57,1.7
226,226,0,Green Valley 2019 - Site 8787,0.13,13.73,171.2,161.7,118,118,9.27,0.08,162.6,1.78,4.34,106,1.2,10.39,-264.7,27.776,2.57,1.7
226.01,226,0.01,Green Valley 2019 - Site 8788,0.13,13.7,171,161.6,117.8,117.8,9.26,0.08,162.5,1.82,4.38,106,1.199,10.37,-263.8,27.736,2.57,1.7
226.02,226,0.02,Green Valley 2019 - Site 8789,0.1,13.57,170.8,161.5,117.7,117.7,9.26,0.08,162.4,1.74,4.29,106,1.199,10.38,-264.2,27.696,2.57,1.7
226.03,226,0.03,Green Valley 2019 - Site 8790,0.11,13.62,170.9,161.6,117.7,117.7,9.26,0.08,162.5,1.68,4.24,106,1.196,10.39,-264.6,27.694,2.57,1.7
226.04,226,0.04,Green Valley 2019 - Site 8791,0.15,13.8,170.6,161.4,117.6,117.6,9.26,0.08,162.3,1.82,4.38,106,1.196,10.37,-263.3,27.663,2.57,1.7
226.05,226,0.05,Green Valley 2019 - Site 8792,0.14,13.74,170.4,161.4,117.4,117.4,9.25,0.08,162.3,1.65,4.21,105,1.197,10.36,-262.8,27.61,2.57,1.7
226.06,226,0.06,Green Valley 2019 - Site 8793,0.13,13.7,170.1,161.3,117.3,117.3,9.25,0.08,162.2,1.77,4.33,105,1.197,10.36,-262.6,27.57,2.57,1.7
226.07,226,0.07,Green Valley 2019 - Site 8794,0.11,13.65,170,161.2,117.2,117.2,9.24,0.08,162.1,1.7,4.25,105,1.199,10.36,-263,27.567,2.57,1.7
226.08,226,0.08,Green Valley 2019 - Site 8795,0.15,13.78,169.9,161.2,117.1,117.1,9.24,0.08,162,1.78,4.34,105,1.2,10.36,-263,27.536,2.57,1.7
226.09,226,0.09,Green Valley 2019 - Site 8796,0.12,13.67,169.8,161.1,117,117,9.23,0.08,162,1.87,4.43,105,1.2,10.38,-263.8,27.519,2.57,1.7
226.1,226,0.1,Green Valley 2019 - Site 8797,0.14,13.74,169.6,161.1,116.9,116.9,9.23,0.08,161.9,1.86,4.41,105,1.2,10.35,-261.9,27.479,2.57,1.7
226.11,226,0.11,Green Valley 2019 - Site 8798,0.14,13.75,169.2,160.9,116.7,116.7,9.22,0.08,161.7,1.83,4.38,105,1.198,10.34,-261.6,27.421,2.57,1.7
226.13,226,0.13,Green Valley 2019 - Site 8799,0.17,13.87,169.1,160.8,116.6,116.6,9.22,0.08,161.6,2.06,4.62,105,1.196,10.35,-262.2,27.419,2.57,1.7
226.14,226,0.14,Green Valley 2019 - Site 8800,0.16,13.83,169,160.8,116.4,116.4,9.21,0.08,161.6,2,4.56,105,1.195,10.36,-262.8,27.396,2.57,1.7
226.15,226,0.15,Green Valley 2019 - Site 8801,0.15,13.8,168.9,160.8,116.4,116.4,9.21,0.07,161.6,2.03,4.59,105,1.195,10.37,-263.6,27.369,2.57,1.7
226.16,226,0.16,Green Valley 2019 - Site 8802,0.24,14.16,168.8,160.7,116.2,116.2,9.2,0.07,161.5,2.26,4.82,105,1.194,10.37,-263.3,27.349,2.57,1.7
